client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
663d4760875c787597254b2808ce18b3a0c5262142ad531ae18b65cee0bfa304b75a2864c03671a5584e6e510744da024d9471a2a351fc1c6f108380014ae01f	common_voice_tr_21367981.mp3	Profesöre göre, sürecin aşamalı olması gerekiyor.	2	0				tr	
e6ade7149cdb6a5370585393f6db44556d5a9934ad27670f0360a11e246a64443018f6bdfda1999607c7152ae0a5b73960f945692ef041bc8692a44f40232eb4	common_voice_tr_17529550.mp3	Yatırımcılar bunu bekliyor.	2	0	thirties	male		tr	
97ebc8329a0e86083942f65713a30826222ed10ab3db78f79979a2d9208865f678ddc297fef3225a6db99199aead9248a142530e3fde4915687765efd042a3d8	common_voice_tr_21340538.mp3	Selimaj yaklaşık otuz avro harcıyor.	2	0	twenties	male		tr	
b41b51a0041737789b15678d0d55dce9aa0429bcf38fbfddc71423f3ddde1d53ad150eb2e810556d1172ccc044426cdf199524d33a62d75692602bf848b1f1c5	common_voice_tr_18881724.mp3	Beş yıllık proje otuz beş milyon avroya mal olacak.	2	1				tr	
0407a96ffba477afe5048cd51af85bdd2b83bc566197360ac5a197716337da33f1778a9940a634a30e1ff5bf180ba728f14e1234a5c1779df11c35da2a1b3c26	common_voice_tr_17562723.mp3	Erdoğan eleştirileri reddetti.	2	1				tr	
6463668ebc87a2c5bfcf2d78c513fed2e0b3fd048ffda1e68bd42b206cb1cfd7e432aa0021904c4a70ca8149e5b28109875bac1a8452b3a72c708e4a2c59a842	common_voice_tr_22599679.mp3	bir	2	0				tr	Benchmark
ed262eb5638b3fed95038a2a10b0454ac72c469598a4f35996961a40dcb073665061fa1813e304f4803b617e279ddcb8caf6e7ad7212ff8e232201d15040ed70	common_voice_tr_18373857.mp3	Şimdi ise bu oranlar yer değiştirdi.	2	0	twenties	male		tr	
f1ab73847918252beadd76770432ce35e1928f4146fe0572f84221abe4eefd821f8c133c35bda1824849017bc7e5667c86f0213fb9173e8ff26495f22ab92fe2	common_voice_tr_18266795.mp3	Bu konuda gerçek nedir?	2	0	fourties	male		tr	
e9955ab133d62538c1ae451b1913d1b243fe4a7ab236efee7507470a6c717a9fc667d41da0981820e719d356a33a287c8ab54fd65d1b3e7000e431b8f8b35ef4	common_voice_tr_18351797.mp3	Fuarda on beş ülkeden bin sekiz yüz katılımcı bir araya geldi.	2	0	thirties	male		tr	
34ae1fbea7538b26ee44df4367e158927586d7cccfd1b1d3cb9b4b89880d51febc1b7f1655ad0d09945565f6fc4f4153b7129a61ff98b80c0c5f288301985c60	common_voice_tr_23667821.mp3	Hep daha rahat konumda olabilmek için bugünlerimizi feda ediyoruz.	2	0				tr	
ed262eb5638b3fed95038a2a10b0454ac72c469598a4f35996961a40dcb073665061fa1813e304f4803b617e279ddcb8caf6e7ad7212ff8e232201d15040ed70	common_voice_tr_18373744.mp3	Kuruluş ilk defa Sırbistan'a not verdi.	2	1	twenties	male		tr	
e6d3cfd9af1c89bfa7544fff2fe1625b21c782d60910e86c2e905d815652725148e6669de3fd37a9df32bfacbafbc5da3a5d1642dc0218992b5c18eb664c3022	common_voice_tr_17867148.mp3	Güvenlik planı bir Temmuz'da başlatılacak.	2	0	twenties	male		tr	
9854a02511cd3e4379c77566b9e6c5c292896c337ef98da0d6837da84f0adfb7a6689d2ef5b36d011ddeefe93ef8e78525883d0da456965653e5efcb523691c5	common_voice_tr_21450189.mp3	Hükümet ayrıca bir dizi skandal da atlattı.	2	0				tr	
cd235cebd6fe87a90665892db3510766a3f98629f1c703182b61b83391947cf26414d4f9db96706bde98053009bf2ab956ef6a0c6a3b0a74a5f03d53edbec750	common_voice_tr_18383433.mp3	Iron Maiden kapalı gişe bir konser verdi.	2	0				tr	
c74e0ef201f160cd0e2e50406420300716843f73758b705aabbcbe1fe8179f0a5659993cbe91723f09a502b0310a034edcd4a9aba817dc1cc9fe4c60453df142	common_voice_tr_17842872.mp3	Fakat halk sadece barış istediğini söylüyor.	2	0	twenties	female		tr	
dfeb7e19fe6a4a0683f9ea954d60c1f6f05e6e4498a2737333b1905477a009de1ec03c34477bbc86a4849516c62b7b69f2e1836d1f86877efe970fb140c8079f	common_voice_tr_19205851.mp3	Bir de yatırım meselesi var.	2	0	twenties	male		tr	
a503a93003c31109160720a6659e32eb746d7dc954773f60da0a5db01f5be2560611d8a31f18aa814bff7df0664e5ffc8f6c9c0675b2365ad0313850f895f728	common_voice_tr_19421289.mp3	Bu ayinle ilgili olarak ne düşünüyorsunuz?	2	0				tr	
7b735c8f538c3bae9b0d2a63492fb70a49d214173903d32caf4dddff77a22b02f35410f718bf0bfb7e8d98741ef2319a1b16082b6eb50640ca1f30399eb56ad8	common_voice_tr_21317271.mp3	İhaleyi verme süreci aylardır sürüncemedeydi.	2	0	twenties	male		tr	
a34a087e48b2dfa05d815f24e5441d38f99e1e5007db456b5ebe6d5238ead3380fadcbe6ae08f394670f770171c6fc0c2dfa81cc6fec84868ec1b969267d4146	common_voice_tr_21318081.mp3	Sizce bu zamanlama gerçekçi mi?	2	0				tr	
0e03e4f6370c3e2952a880f4ffb50c08ce5932573d1bcb0bb83faeccb12cfdf420b7b37dbec04add639ede64c985d19652de332b31ad3ef892ab28678377f411	common_voice_tr_17357136.mp3	Bu arada meşru sektörler de zarara uğruyor.	2	0	twenties	male		tr	
