client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
f398e532c4307d0fb6f23dda4b599e05c8483a5211aab4dba56e24a0acc89810af5b98cc96afe0b55fdee3b41250c05571fa3d170e517213e71e52e481a80df1	common_voice_hi_23976060.mp3	मैं मोहन के साथ गेंद खेलने जा रहा हूँ।	2	0	twenties	male		hi	
46f23ae11e8565e979749342e1097a77fe3ef574253f10323351763c97b22c07b42362b03c576fa1d45361cede36368bbd6b9325f1f93cd2b8ed161a560ece2a	common_voice_hi_23847550.mp3	क्या पहनने वाली हो?	2	0	twenties	male		hi	
3e444b1d4cdc23e8a54c43d1ac3345d6835dbaa76477746b5e5250bce5018392d78fb03ea06a10b718ac956846d3e8010411d57ef75bf8debac74979ebf00f1d	common_voice_hi_23832956.mp3	मुझे मूर्ख बनना पसंद नहीं है।	2	1				hi	
ac38b13197dccd9b8389b7ea08fa62f18a0ad7549e1dcb0ac6d9a05f3c3cf0e1a38c50b32020c420310616620b70345d1c7ec60431e9af8f1dd471d271dd2c81	common_voice_hi_23901989.mp3	टॉम को कुछ पिलाओ।	2	0				hi	
46f23ae11e8565e979749342e1097a77fe3ef574253f10323351763c97b22c07b42362b03c576fa1d45361cede36368bbd6b9325f1f93cd2b8ed161a560ece2a	common_voice_hi_23852758.mp3	मैं तुम्हें एक तोहफ़ा दूँगा।	2	0	twenties	male		hi	
f398e532c4307d0fb6f23dda4b599e05c8483a5211aab4dba56e24a0acc89810af5b98cc96afe0b55fdee3b41250c05571fa3d170e517213e71e52e481a80df1	common_voice_hi_23976075.mp3	उसने मेरी पीठ पर थपथपाया और मुस्कुराया।	2	0	twenties	male		hi	
cb80d11c3532ab20b83037029cb1c2394ea6339f697e7101b9288365e3387903da82dc7d32bb6f1a45d5659f6ffacc187711e06195561c5e4f09721683bbd761	common_voice_hi_23827797.mp3	मेरा वहीं मतलब है।	2	0	twenties	male		hi	
46f23ae11e8565e979749342e1097a77fe3ef574253f10323351763c97b22c07b42362b03c576fa1d45361cede36368bbd6b9325f1f93cd2b8ed161a560ece2a	common_voice_hi_23847598.mp3	मैं वापस आऊँगा।	2	0	twenties	male		hi	
b3a9d00791dae63b944756627fdb96c21c53f4d69beef3a56780607d83e56d0a6faf52d5d704c925bb323f8b2c9a168a87c2cd94fcc3d3abf6b034c9e7f5cd77	common_voice_hi_23937580.mp3	टॉम स्वार्थी था।	2	0	thirties	male		hi	
f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb	common_voice_hi_23796049.mp3	अभी पोलैंड में क्या हो रहा है?	2	0	twenties	male		hi	
da10f782c53d93ec1dbf793a1f5404dbdfd390c9abdacd218d0c47e2366a569d50841b5ad9075f9b83e2c16b9194ab1be1f91e407a546218999fa14e2b49a3eb	common_voice_hi_23964493.mp3	तुम हमेशा लोगों की बुराई करने को तैयार रहते हो।	2	0	twenties	male		hi	
46f23ae11e8565e979749342e1097a77fe3ef574253f10323351763c97b22c07b42362b03c576fa1d45361cede36368bbd6b9325f1f93cd2b8ed161a560ece2a	common_voice_hi_23852762.mp3	बारह बजने वाले हैं।	2	0	twenties	male		hi	
46f23ae11e8565e979749342e1097a77fe3ef574253f10323351763c97b22c07b42362b03c576fa1d45361cede36368bbd6b9325f1f93cd2b8ed161a560ece2a	common_voice_hi_23849295.mp3	तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार	2	0	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23830510.mp3	नीता अंबानी बनीं रिलायंस इंडस्ट्रीज की पहली महिला डायरेक्टर	2	0	twenties	male		hi	
79741f3153a904c0ddeb1d81d69b137d61adb2a3f1c8ea30fd32a88a4f7028bbb73f1515f3cac14ad147b8c1845846d96d9333173f71677d207b7ff1357a37c5	common_voice_hi_23833611.mp3	विपक्ष का वार, केजरीवाल जैसी नौटंकी पर उतरे शिवराज	2	0				hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23830508.mp3	तुम्हें मेरी मदद चहिए क्या?	2	0	twenties	male		hi	
80df1054d490d23f8c2523fa0495d60f3cc205e34e95d436f6c923158601404372c2ddea0d8239b414c6a6e342198453e814db3f980e01b97817acc51ea7adc4	common_voice_hi_24016300.mp3	बरसों तक जिसे खून समझती रही दुनिया, बाद में वो निकला गर्म पानी	2	0	fourties	male		hi	
f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb	common_voice_hi_23795360.mp3	वह चाय पी रहा है।	2	0	twenties	male		hi	
984398a9ba94c5ce43b621c6fee2c6092d5ea3632e0b605bf206a5ae59eba42401dbc36603073eec2117374293d2675a9847d91f1c71deeeeee7c5202840a1ea	common_voice_hi_23824456.mp3	महाराष्ट्र पब्लिक सर्विस कमीशन में वैकेंसी	2	0	fourties	male		hi	
