client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
9febff4e08455ad630d0a31755117fc3fa097f1326329ac5e9909d26f94d16084922894037dd7788ee9a78690e94caf8861ed3d14dd7fc1638d0f8860d576544	common_voice_en_78545.mp3	What is the forecast in Kentucky for temperate weather	2	1	fourties	female		en	
e59d17310bb3b545b70405b611457a3c1bf13d59a1820d29e7079f2402b447b7362e1571e3f8f897d0ee0cc4d45ec993e422d5fddf3eba6c63741f1a181d85fc	common_voice_en_18091118.mp3	My empire reaches from the ocean in the East to the mountain ridge in the West.	2	0	twenties	male	us	en	
d98fa6cceeebd4f7d7d17c0c9925921737d5a1dfd967112143d45176a51e0354a465686cf8bda9330db081997b375ac6faf1c216edc15eac645524f77265bfe5	common_voice_en_22919254.mp3	With Horace Enea, he designed Compel, an early single assignment language.	2	0	teens	female		en	
c43e3e3bc0f66c364b606b04bfe6b5f26d424775bc0fead16aef1d549b85b0136c6684af6dd4c87531bac0ee224286a9b5026ac2d62182e359f435e2047fae10	common_voice_en_221948.mp3	They have gotten used to my being away, and so have I.	3	0	thirties	male	england	en	
672a3259269b97062367fcafac924cb6013a30f9e34c09eff5c41b6d81f8a9b8e797beba73bbe770cb6ecdcdcc0039306ffae6e7c53294f92803666e3fa86b1b	common_voice_en_178693.mp3	Strong passwords don't have to be hard to remember.	2	0	thirties	male	ireland	en	
e24a6449ab0708eaed0dd48ea3e5b21b88525b30f400979e1a650f39293a3fb5d6fdb91a656fa6d01a26ad8d75a6211b0f5bed87fa0c84d502ce678a0507d3cc	common_voice_en_17294344.mp3	A serenade an evening concert in the open air.	2	0				en	
ea29658116263c3d4728fb191a8a4e894ef72d53a6583f88eb372f6af41b0df858979850a43ecd6b2c5a8100edb6b0876cd04676759dc245b5d4834d04a764d3	common_voice_en_18070910.mp3	The majority always claims to be pacifist, BUT ...	2	0	teens	male	us	en	
b419faab633f2099c6405ff157b4d9fb5675219570f2683a4d08cbadeac4431e9d9b30dfa9b04f79aad9d8e3f75fda964809f3aa72ae9d0a4a025c59417f3dd1	common_voice_en_21176404.mp3	The footwork is a basic side-tap, side-tap.	2	0	thirties	male	us	en	
4b1851d1f72d011509bf7b0069da625200b055be9c84396c4077ea70256869a57bf083031617df9e1a4575d44d480c2aee0fadb3db952371ac6c43c68c50cedb	common_voice_en_518684.mp3	The next day, the boy met the old man at noon.	2	1				en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_20428052.mp3	Standard headphones could also be connected to a monaural jack.	2	0	fourties	male		en	
be2d568efa5c0ed462af31129f15df0cd8c0812f09831aa98b31d4def1fd671bc8e59850391f63ba975baebef15ed0573117e053cf1773792a77db535de582ec	common_voice_en_499413.mp3	Emma tapped her nails on her mobile phone.	3	0	twenties	male	us	en	
