client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
0850172d1b140895102261e0ffc94947e74226562351d1694ebec6e44d2bf8d117a42a7393a7bb88628b4da9e7a64156b3b4884be56767cbcdb10ef0c1822666	common_voice_cs_20512231.mp3	Nyní jsou tu informace o aktuálním vývoji.	2	0				cs	
8329318059288682efc1901f18c72f7fea100c3bcc60f24958fb2fa4ee8ee6c8b4a5887ad43f8b2e70f830063932d506919e8ed90b83c784ba3893004dcc4a43	common_voice_cs_20510644.mp3	Aktivitu hodnotím jako velmi rizikovou.	2	0	thirties	male		cs	
b84ffa71b7c369319e9a3e7378eb1c3f4bd1744de68b2a6e57659fb70dee1cc0a6afe26a011ec69218562cd0af154239ff43ed2b70a784f05d2f2983607979e2	common_voice_cs_20587229.mp3	Aspoň o jednu starost míň.	2	0				cs	
3470be44c9e6d90cb9b7d22b56c494779789c18027fe4697a1ba566d30c75fdadae1effaa6f1d764edd6013c910c7df15af4dd8884a04b06a2b5ef531aff0d78	common_voice_cs_20495496.mp3	Dášeňka si sedne zdrceně uprostřed boudy a fňuká.	2	0				cs	
1c22e1e8c83fb12636b40061f83869e7fda008510668d4771ea96d6b098fbdc5083818a100f0a2144129329f49e26efc4084e4ca4b92e33615cc4145e72e370c	common_voice_cs_21419518.mp3	Proč otevírat oči?	2	0				cs	
1c22e1e8c83fb12636b40061f83869e7fda008510668d4771ea96d6b098fbdc5083818a100f0a2144129329f49e26efc4084e4ca4b92e33615cc4145e72e370c	common_voice_cs_20487845.mp3	Aspoň ne po delší dobu.	2	0				cs	
4195673180021c58b9f2992a088a541e4f223333c751e0a408d1d50aaee7b91f3ed1912a4bb41d76357f59dfcf6f80253cd8bdd88193156fb0f9d00ea384359e	common_voice_cs_23679064.mp3	Je tak čtvrtou nejúspěšnější reprezentací.	2	0	fourties	male		cs	
b3ae122ef2cb564363ff43600f81c2c7b5e4a6cfa0533dfc919b27fc203a5d7cd1c642d831bbc828c8cd9ec93152a5d216372037b1e793437fc1be59d199376f	common_voice_cs_22841089.mp3	Liché díly jsou vysílány v úterý a sudé ve čtvrtek.	2	0	twenties	male		cs	
0d135d9342a1fcb9e661bc9ee3679208a812b34e7d486fd03ca3e68550ead09e496e3e0d11f1b7aa5bf103ad7ae9e925885946620f6cd5ed9cddd32f06a3c29c	common_voice_cs_20484391.mp3	Dnešek odpovídá již na tyto otázky díly umělců nejmladších.	2	0	thirties	male		cs	
b3ae122ef2cb564363ff43600f81c2c7b5e4a6cfa0533dfc919b27fc203a5d7cd1c642d831bbc828c8cd9ec93152a5d216372037b1e793437fc1be59d199376f	common_voice_cs_20484300.mp3	Porušil jsi slib!	2	0	twenties	male		cs	
