client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
5faaa6335a0c85fc7b11eab979f83f2a10c145b624de1f7ca6087e4e49a930c3242dea16c377769dca698624ea8063fc3835b3281637c7e7b8b8c3c870aba3f9	common_voice_cnh_17922208.mp3	Lung nih a nenhnak in a thi.	2	0				cnh	
26b34f7784dbcee7fcbee44f17cb9beb49ff914fe9ae5aafb984ce4347f020577096345c9924f4423bf7145eeec43b7ef1e83580c35ee25e3a470829cf938999	common_voice_cnh_17908893.mp3	Na rian a ol maw?	2	0	twenties	female		cnh	
ccfe704869fa121b5d817323027bebf247c8fa1ebfd96ecf90b4df1c22acd8144ee33da726ef38ecfc46272034aa935e4cc575b7b2c22d8a1af96c019b926394	common_voice_cnh_17925160.mp3	Mi hrio a si.	2	0	twenties	male	other	cnh	
38befc4a3d44ca5e7bb4369e641e863fcf7b5c25614cecedbedd167f3688c42cfeb97431012ce0d5edc66918f24a642cb04be633999568fb0162e12d398728d6	common_voice_cnh_17930639.mp3	Na kan bawmh lai tiah ruahchihnak kan ngei.	2	0	twenties	female	other	cnh	
f3db620c62e414e81b8015f9a503b0d8eff140f88706ff01986f79f5983f86820df8aac91a596eaa2c8e480e6217fbcdf055c696f288cfc288a29daa76d3b426	common_voice_cnh_17927007.mp3	Dawr ah na kal lai maw?	2	0	thirties	male		cnh	
01c7cdc854d0e71eb2460698584abdf3d7fe5853fdf7fb06d2313651d3023e82b4ed18535299c8dcdcc73e5261fc6822712a59e682551d191bd17f87709228c4	common_voice_cnh_17903726.mp3	Thaizing ah lam kan sial lai.	2	0	twenties	female		cnh	
37d250873410ccb2cba8aa563e70a28d848812e2199d842e3856dee547388848db3a6d16b8723350a8c8d2bc972c08e1ed9163a6c6c8f47de86fd9cef7591f94	common_voice_cnh_17913754.mp3	Kaa hmu.	2	0				cnh	
daf76126e823b2f83e4d14341f94003d7eec9f8102d46a8091174d24f968506e3782df07e1579193bf857f3a279d15fcaa05ffe66ba1fb435113488b0b7828bb	common_voice_cnh_17922921.mp3	Relcawk lo arfi nih zaandai cu an lawmh mi ko khi a lo.	2	1	twenties	female		cnh	
ec16e91da8848247677e2d735858c46d83161e2819e85b3fe2958e2e1814c64a934bb46649a45cd0a75a31a2039983fa4923e4a95a75997c6ca54abea68662f4	common_voice_cnh_17924380.mp3	Cawhnuk kha a pelpawite lawng ka din lai.	2	1				cnh	
66fc524c06e1d49393bc8c6ab47905e0d2193c243a5b8d096d05cf8f0682704390d639a765e6a4df92f927ed9d7481aec687ad7e416c9141d199c645b3152636	common_voice_cnh_17895089.mp3	Mifir pa a hrem.	2	0				cnh	
4b304dda2609fe27aec1e73bca2721e6db482dcb79db351e36554147101dfa44315498f67604b8bce6be4c3ad46308b2139320543d520fc3306482f564a22144	common_voice_cnh_17931346.mp3	Kan ram a caar lonak dingah thingkung tampiin kan cin a hau.	2	0				cnh	
34f190ab22a43fda4fc48599bc269126b4ca867608548504493138c08dcf8fcad7904509cfda2c627cb9c99aae8482a76fb398e1ff9ab0e42476aef344d0ed28	common_voice_cnh_17925071.mp3	An velh chin hnu zongah a rim hlei lo.	2	0	thirties	male		cnh	
daf76126e823b2f83e4d14341f94003d7eec9f8102d46a8091174d24f968506e3782df07e1579193bf857f3a279d15fcaa05ffe66ba1fb435113488b0b7828bb	common_voice_cnh_17922952.mp3	Ka lung na ka pemh.	2	0	twenties	female		cnh	
dfb99816ca89f8f15c5a41b2db5021fb1a81a0914c4bd289f790c1dd511709ff6342560a02573331fb451bce5c9e3ad19077bf235f0ec10a64c4daabfcd0374e	common_voice_cnh_17896893.mp3	Maw ka thin aw!	2	0				cnh	
9bf3035d8eba28328e9f00154d8145664188bee7001cd658a207070134eadda8fd0d8b84cf965336487ad8e5fc5416c2607bb212eed69f731828c589a084a505	common_voice_cnh_17900030.mp3	Zoh khih!	2	0				cnh	
409c9868000a3e5120c4ec3fe282773ad4e18d16ae56b4feedf83f47094aae4b6283c8f7077dce59a70747e482f1a2b36ef057dfc8207b37afaf26d770955003	common_voice_cnh_17895162.mp3	A kal a nuarh tuk tikah a kan tlai ter dih.	2	1				cnh	
200244e174fa74c4b4366d1511cbd227c5636756f87c2d5b1e0d1923590976ff79632129bd385701b392e93178a0c606d7b6dafad5917d339954f25d9b460e59	common_voice_cnh_17924623.mp3	Bawibawi nih Chinchin a ih ter.	2	1				cnh	
fbced02266b02a0a408b832b876ce9a6acb81ae1cf686dd23ab5434e70295b6d3357487cf0acc953c5b5729aaccb8989bf9acbea00bd1db0c8931f2b6fbecb82	common_voice_cnh_17909316.mp3	Na cauk kha rel tuah hna.	2	0				cnh	
9094c81f4ad37f14547d83adc6aa87705c9ce34c1c8686eb7f3734c6321110086a07f5640c8825cb3b203faeff893a501b422c94289431799e9cf555a7bf5c0c	common_voice_cnh_17902378.mp3	Mah ka hawipa hi a lu a ngan ngai.	2	0				cnh	
