client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
e3aa8071a7f893c4e21442edaf68d7da66d6d1bef34ef3f48a4f0f9c9ab58544f441d5d35cf8a42244cbe887013e5711ce8b33fd19ddc14cf7971be9c8bf48b0	common_voice_ga-IE_18182736.mp3	Tá an-áthas orm a bheith anseo libh	2	0				ga-IE	
a6fb1db0b412f2b924ca329cd39fd0adffbdd1ed81bdda43bb32d4954d74620bb719b6af8e57a75aa909d308194c4d27c70ba2f64ba4e07d80531d463cedde94	common_voice_ga-IE_18943342.mp3	tá sé ábalta cur suas le lorg aimsir na hÉireann	2	0				ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17581786.mp3	Tá áthas orm a bheith anseo i Russborough tráthnóna.	2	0	thirties	male	connachta	ga-IE	
8efc364986858317c082195653d85a0e2d3afa710bbb326c2637a949517f4909abf989cdc3a0e000703179bb9f90bc08eadc8c4529d69370c5b8e991ec38f57f	common_voice_ga-IE_17736617.mp3	Go raibh míle maith agaibh agus beirigí libh mo bheannacht ó chroí	2	0	thirties	female	ulaidh	ga-IE	
181b63f0202ba1fd0594b5a55c4a9bb53429c87b2d2bda74f0370273a94bcffeaf810c3b0838481915f9dfbe59011ea40c5f9281b6a858c7f60f4a644c148d7f	common_voice_ga-IE_18183790.mp3	Tá fáilte romhaibh abhaile	2	0	twenties	male	connachta	ga-IE	
33bd49a043425fd44a00007c5ff695f40322585dd178afcb6b4859a116899b481e447d7ed7c4bae4adf8c709141bcab0dc2d92241de3752fa0232805dd03c22d	common_voice_ga-IE_17770378.mp3	An leabhar sin	2	0				ga-IE	
78a9851e086b4d9282df63d8b80e1e6e688f15752ec2b3f163ceba5f2c25ccd50fe4832ae556fa5b0e28c36c87cecd33da0d02596a0d5d8ef97708aef0bc5745	common_voice_ga-IE_17523507.mp3	Tá cóta bán ar Nóra	3	0				ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17582039.mp3	Sa bhliain dhá mhíle a dó dhéag.	2	0	thirties	male	connachta	ga-IE	
7a58117936f3b34ce45a1a0e42492e29b4f1f15c4f8180b70e000b6c3bd13434de00cd2b7e55fee7091cdc49337c4b9794d22aede797912ecaaefa830f7640cf	common_voice_ga-IE_18629874.mp3	Ar dheis Dé go raibh a hanam	2	0	thirties	male	mumhain	ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17622320.mp3	An Pinsean	2	0	fourties	female	other	ga-IE	
181b63f0202ba1fd0594b5a55c4a9bb53429c87b2d2bda74f0370273a94bcffeaf810c3b0838481915f9dfbe59011ea40c5f9281b6a858c7f60f4a644c148d7f	common_voice_ga-IE_18184392.mp3	Tá fáilte romhaibh go léir chuig Áras an Uachtaráin tráthnóna	2	0	twenties	male	connachta	ga-IE	
dbc9619547b67e3055615a6577931241ee4baf71e2006cc0305ca1e7edbaf86d61e44fc822de6a62f2e377703e18bb7a798deb67d934117fd6f392d4da1cf859	common_voice_ga-IE_19024908.mp3	A chairde na hÉireann agus na Síne,	2	0	thirties	male		ga-IE	
181b63f0202ba1fd0594b5a55c4a9bb53429c87b2d2bda74f0370273a94bcffeaf810c3b0838481915f9dfbe59011ea40c5f9281b6a858c7f60f4a644c148d7f	common_voice_ga-IE_18184327.mp3	Ar an lúidín	2	0	twenties	male	connachta	ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17832710.mp3	An leabhar dubh	2	0	fourties	female	other	ga-IE	
f40708a791028964787d11bcd9c78530ae27d1dde78b7a6cf3f335609f962adfec42e95215f7eebcef178b60af8c1a03917b1906b621220d9ea854b7055e5a24	common_voice_ga-IE_18195474.mp3	Maidin gheal sa samhradh.	2	0	thirties	male	connachta	ga-IE	
cd5be1c3ffc87d82783a7111655320a0ce12c22a1cdedede9e9c62a0c4719d8dabcb3e67f8868ddb02acbfa66973c4c5b1c303c55730afd1d0a66b15814ed678	common_voice_ga-IE_18930135.mp3	Guím gach rath oraibh don todhchaí	2	1	twenties	male	mumhain	ga-IE	
f40708a791028964787d11bcd9c78530ae27d1dde78b7a6cf3f335609f962adfec42e95215f7eebcef178b60af8c1a03917b1906b621220d9ea854b7055e5a24	common_voice_ga-IE_18202529.mp3	Briseadh giall mo dhuine.	2	0	thirties	male	connachta	ga-IE	
79b1e252b06b3fcc78befc04ca2dcd209063e5fd847ba1e8ebfa571fdbf3ef70101e1327fd96438c5d3227ece44c0d67609fbc6a17bcc855f4debb8c7db2e58e	common_voice_ga-IE_20660640.mp3	Aithníonn ciaróg ciaróg eile	2	0	twenties	female		ga-IE	
8efc364986858317c082195653d85a0e2d3afa710bbb326c2637a949517f4909abf989cdc3a0e000703179bb9f90bc08eadc8c4529d69370c5b8e991ec38f57f	common_voice_ga-IE_17732203.mp3	An bhfuil fáinne ar a hordóg	2	0	thirties	female	ulaidh	ga-IE	
7a622ad3217ecf8c2fc6656077a33059732504874d096bd0fc1d239f6e5f39a5861c5faad9e119d588ea80c048c3ab02bfae41fbde22232e89272ac3d5ecc7a4	common_voice_ga-IE_17410325.mp3	Ar tháinig aon duine anseo?	2	0				ga-IE	
8efc364986858317c082195653d85a0e2d3afa710bbb326c2637a949517f4909abf989cdc3a0e000703179bb9f90bc08eadc8c4529d69370c5b8e991ec38f57f	common_voice_ga-IE_17731885.mp3	Ba mhaith liom mo bhuíochas a ghabháil le John Cummins, Iarmhéara na cathrach seo	2	1	thirties	female	ulaidh	ga-IE	
819d14835c3996bf54890b74c80a46f9d97e03b269da40980a9e91a9f86fe24854d4509123020c928ea80932e1e14c11b4e8ad8fd37ad99936b1791f49d46db1	common_voice_ga-IE_19048922.mp3	Is fearr a bheith cinnte ná caillte	2	0	thirties	female	connachta	ga-IE	
13c2b4fd7bcbfdfb5f133de6383869be0308067f45fd71b8e930f668c585e4458c66a57150dd9951237c101c6e4413463af10995c11e30bb75516c3b42cdb2bb	common_voice_ga-IE_18182561.mp3	an oiread sin óir	2	0	twenties	female	ulaidh	ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17635786.mp3	Nathair nimhe is fearr	2	0	thirties	male	connachta	ga-IE	
f40708a791028964787d11bcd9c78530ae27d1dde78b7a6cf3f335609f962adfec42e95215f7eebcef178b60af8c1a03917b1906b621220d9ea854b7055e5a24	common_voice_ga-IE_18202561.mp3	Ní bheidh mé	2	1	thirties	male	connachta	ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17638136.mp3	Conas atá tú, a Thaidhg	2	0	thirties	male	connachta	ga-IE	
8f5815e9bab518907818f717476b7e64c42817fc82be9c7099b9650de549df54872440a249cab885fe24d47877372f25a1a5441edc6a8603a5d0303aecd07c3e	common_voice_ga-IE_17686728.mp3	teach an tsagairt	2	0	sixties	female	connachta	ga-IE	
8efc364986858317c082195653d85a0e2d3afa710bbb326c2637a949517f4909abf989cdc3a0e000703179bb9f90bc08eadc8c4529d69370c5b8e991ec38f57f	common_voice_ga-IE_17731896.mp3	Níl cead agat.	2	0	thirties	female	ulaidh	ga-IE	
181b63f0202ba1fd0594b5a55c4a9bb53429c87b2d2bda74f0370273a94bcffeaf810c3b0838481915f9dfbe59011ea40c5f9281b6a858c7f60f4a644c148d7f	common_voice_ga-IE_18183799.mp3	Cuir an bosca ar an mbord, a Dhiarmaid	2	0	twenties	male	connachta	ga-IE	
d0b7a1a4bf8abb6620a4825107668b903a11317c71cb8d0a35c7e969dcf53f462e214e2295ec9ee07a85946db8bfe6fbaded0f770027862a88c511270baecce7	common_voice_ga-IE_17687682.mp3	An múineadh	2	0	teens	male	ulaidh	ga-IE	
dea9cbd77f22f900e83f25e3129f6947515025d98da35c15ee29d9d291e5a3e03c658b6d8bce8717a9e9352fcf73fb243ff9756ec6086875f4e25e2597edbc79	common_voice_ga-IE_17358898.mp3	Shéid an réiteoir an fheadóg agus chríochnaigh an cluiche ar chomhscór.	2	0	twenties	male		ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_19874025.mp3	Tá mé féin go maith leis	2	0	fourties	female	other	ga-IE	
2bf1907838353bd4ff938cb357518af5cd662218dcf4e05e91bccb5c4981619def6e13f25156c63c468ac5e938051eb89983ae095606bc1ebcbe2aba77dbcf38	common_voice_ga-IE_18183351.mp3	an cnoc is airde in Éirinn	2	0	twenties	male	mumhain	ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17656171.mp3	Bhí Seán Ó Gríofa anseo ar a dó a chlog, ach níl sé anseo anois	2	0	thirties	male	connachta	ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17622346.mp3	Cad tá ar an mbinse anois	2	0	fourties	female	other	ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17638608.mp3	Ar an mballa	2	0	thirties	male	connachta	ga-IE	
cc1acbc1c5259587cf883493429f8a4c3c309eb756a19b51976b6d327c21d5d62dbe8b74b34c4bd4b7c8bd61ec834de65b569f1103b5ff9bbd0a645b5f8f5666	common_voice_ga-IE_17576779.mp3	Beo agus muid á labhairt lena chéile	2	0	fourties	female		ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17660021.mp3	An bhfuil bhur mbróga oraibh	2	0	thirties	male	connachta	ga-IE	
2bf1907838353bd4ff938cb357518af5cd662218dcf4e05e91bccb5c4981619def6e13f25156c63c468ac5e938051eb89983ae095606bc1ebcbe2aba77dbcf38	common_voice_ga-IE_18439947.mp3	Is binn béal ina thost	2	0	twenties	male	mumhain	ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17625336.mp3	Sí capall na hoibre an bia	2	0	fourties	female	other	ga-IE	
dbe71c81c295728ecb2142a6d2e32115c64930752fe22fff37e747ca0a426c379a3c394786ee4e1515b8abe040e48e5fbe999131673d8ec8ccae73ad52d812d1	common_voice_ga-IE_18186257.mp3	Beir beannacht	2	0	twenties	male	mumhain	ga-IE	
8efc364986858317c082195653d85a0e2d3afa710bbb326c2637a949517f4909abf989cdc3a0e000703179bb9f90bc08eadc8c4529d69370c5b8e991ec38f57f	common_voice_ga-IE_17736624.mp3	Ar dheis lámh Dé go raibh a anam dílis	2	0	thirties	female	ulaidh	ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17625670.mp3	Ba mhór an onóir dom fresin cuireadh a fháil chun crann a chur anseo.	2	1	thirties	male	connachta	ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17576767.mp3	Tá Seán ag an doras	2	0	fourties	female	other	ga-IE	
2365c450d92516275bba41aac73c5acf8ce75bf4896ecbd54c3eaa7f121b53488a25a234605d205f960767e2cb5f88d749e3a035ded3a2e9930f35c814bfd1f8	common_voice_ga-IE_18265223.mp3	Teach ceann tuí é sin.	2	0	twenties	male		ga-IE	
cd5be1c3ffc87d82783a7111655320a0ce12c22a1cdedede9e9c62a0c4719d8dabcb3e67f8868ddb02acbfa66973c4c5b1c303c55730afd1d0a66b15814ed678	common_voice_ga-IE_18930067.mp3	An Iordáin	2	0	twenties	male	mumhain	ga-IE	
2bf1907838353bd4ff938cb357518af5cd662218dcf4e05e91bccb5c4981619def6e13f25156c63c468ac5e938051eb89983ae095606bc1ebcbe2aba77dbcf38	common_voice_ga-IE_18183250.mp3	Muna bhfuil timpeallacht shláintiúil ann, ní bheidh geilleagar sláintiúil ná sochaí shláintiúil ann ach oiread	2	0	twenties	male	mumhain	ga-IE	
78a9851e086b4d9282df63d8b80e1e6e688f15752ec2b3f163ceba5f2c25ccd50fe4832ae556fa5b0e28c36c87cecd33da0d02596a0d5d8ef97708aef0bc5745	common_voice_ga-IE_17449507.mp3	Rugadh an t-ochtú lá is fiche de mhí feabhra míle ocht gcéad ochtó a dó	2	0				ga-IE	
7a622ad3217ecf8c2fc6656077a33059732504874d096bd0fc1d239f6e5f39a5861c5faad9e119d588ea80c048c3ab02bfae41fbde22232e89272ac3d5ecc7a4	common_voice_ga-IE_17410245.mp3	Ceacht a dó dhéag	2	0				ga-IE	
78a9851e086b4d9282df63d8b80e1e6e688f15752ec2b3f163ceba5f2c25ccd50fe4832ae556fa5b0e28c36c87cecd33da0d02596a0d5d8ef97708aef0bc5745	common_voice_ga-IE_17523198.mp3	agus comhghairdeas libh arís	2	0				ga-IE	
78a9851e086b4d9282df63d8b80e1e6e688f15752ec2b3f163ceba5f2c25ccd50fe4832ae556fa5b0e28c36c87cecd33da0d02596a0d5d8ef97708aef0bc5745	common_voice_ga-IE_17558901.mp3	Ainmneacha toghranna cheantar iascaigh.	2	0				ga-IE	
f2ddda9beedd7da00343c8b1f0c5e48a1699eb0a0f26cc608d1a3ed771ad0e9169da1b1b374fe51af13e1d0319d75254f55cf727727351b41d0edefa895fe97d	common_voice_ga-IE_17674945.mp3	Ar an lámh	2	0				ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17688526.mp3	I mbliana, tá Seachtain na Gaeilge agus Conradh na Gaeilge mar phríomh-chomhpháirtithe ar an ócáid.	2	0	fourties	female	other	ga-IE	
f40708a791028964787d11bcd9c78530ae27d1dde78b7a6cf3f335609f962adfec42e95215f7eebcef178b60af8c1a03917b1906b621220d9ea854b7055e5a24	common_voice_ga-IE_18202524.mp3	An bhróg mhór	2	0	thirties	male	connachta	ga-IE	
e5e2163cbb66a4ec53e0311c636d5c2834af97502df9a8f50011974c0fe857b3e20e4d5b28cde10fe56e76ab25549ae536c7a0cd937eaf0f60a7d26aa5e3ca90	common_voice_ga-IE_17401314.mp3	Bainigí sult as an chuid eile den lá.	2	1	thirties	male	other	ga-IE	
e5e2163cbb66a4ec53e0311c636d5c2834af97502df9a8f50011974c0fe857b3e20e4d5b28cde10fe56e76ab25549ae536c7a0cd937eaf0f60a7d26aa5e3ca90	common_voice_ga-IE_17401310.mp3	Is mór an pléisiúir dom bheith anseo inniu	2	0	thirties	male	other	ga-IE	
71c125718af97229f1da732895d20b6aa8b741bb3f562454e2e575f0db9c2cfa6f7f4cf0bdd440bf7215b63d11a98ba6d8893ae690298b57ad056e4c6b5d171c	common_voice_ga-IE_17570057.mp3	tá na leabhair go léir ar an mbord	2	0				ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17665322.mp3	Cuir an leabhar seo ar an mbord, a Mháire	2	1	thirties	male	connachta	ga-IE	
8efc364986858317c082195653d85a0e2d3afa710bbb326c2637a949517f4909abf989cdc3a0e000703179bb9f90bc08eadc8c4529d69370c5b8e991ec38f57f	common_voice_ga-IE_17734769.mp3	Níl mé sásta go hiomlán gur glacadh le m’iarratas ar gach leibhéal	2	0	thirties	female	ulaidh	ga-IE	
e63aa674199d9c85c64b2ae1dd56b398651d16f9f1ee5130b2e3ef15cad7f4fb31860e7a9c3b4a1b332e35aa530fec68f66beff824846b65701f6a73e11fadf5	common_voice_ga-IE_18182443.mp3	Tá an-áthas orm a bheith anseo i gCnocán an Éin Fhinn inniu	2	1				ga-IE	
78a9851e086b4d9282df63d8b80e1e6e688f15752ec2b3f163ceba5f2c25ccd50fe4832ae556fa5b0e28c36c87cecd33da0d02596a0d5d8ef97708aef0bc5745	common_voice_ga-IE_17360283.mp3	eolas fúinn	2	0				ga-IE	
cd5be1c3ffc87d82783a7111655320a0ce12c22a1cdedede9e9c62a0c4719d8dabcb3e67f8868ddb02acbfa66973c4c5b1c303c55730afd1d0a66b15814ed678	common_voice_ga-IE_18929819.mp3	Deir Séamus go mbeidh siad i gCill Airne	2	0	twenties	male	mumhain	ga-IE	
181b63f0202ba1fd0594b5a55c4a9bb53429c87b2d2bda74f0370273a94bcffeaf810c3b0838481915f9dfbe59011ea40c5f9281b6a858c7f60f4a644c148d7f	common_voice_ga-IE_18184280.mp3	Cad é an sliabh is airde ar domhan?	2	0	twenties	male	connachta	ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17580312.mp3	Nach mbeidh siad	2	0	fourties	female	other	ga-IE	
f40708a791028964787d11bcd9c78530ae27d1dde78b7a6cf3f335609f962adfec42e95215f7eebcef178b60af8c1a03917b1906b621220d9ea854b7055e5a24	common_voice_ga-IE_18200603.mp3	Go dté sibh slán	2	0	thirties	male	connachta	ga-IE	
1f555b52df7620c59f0c152a474ff258344103811b4e2204b2152a7fa5ed4e0397605fcaef32c63fdf940ed618e989d8539f3b5ad16610bc297e2e645e557b83	common_voice_ga-IE_19328199.mp3	Bíonn sé ann go rialta.	2	0				ga-IE	
d0b7a1a4bf8abb6620a4825107668b903a11317c71cb8d0a35c7e969dcf53f462e214e2295ec9ee07a85946db8bfe6fbaded0f770027862a88c511270baecce7	common_voice_ga-IE_17687712.mp3	Tá fáinne buí ar a lúidín	2	0	teens	male	ulaidh	ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17586460.mp3	Táim dallta	2	1	thirties	male	connachta	ga-IE	
13c2b4fd7bcbfdfb5f133de6383869be0308067f45fd71b8e930f668c585e4458c66a57150dd9951237c101c6e4413463af10995c11e30bb75516c3b42cdb2bb	common_voice_ga-IE_18182562.mp3	An bhfuil an leabhar dearg ar an mbord	2	0	twenties	female	ulaidh	ga-IE	
86f09601aa6adb4027dcf8bc0807d3738b34bcc22ea50fb54b05631b13b0cd266c4534fa96112ccc5c09408df91bdca076dd64f2ef459e1b822f80c09a4e8363	common_voice_ga-IE_17632191.mp3	is le mo dheartháir é	2	0	fourties	female	other	ga-IE	
7750bf7d04c7e1eac6c9ad7aabd3acf7f010921a0b3454ced62db943d9e69c6838d3937de6feb4d0fec5ff5111c61cb52e398c841363733c4b14afd464e42423	common_voice_ga-IE_17625660.mp3	an bhfuil mórán fíona agat?	2	0	thirties	male	connachta	ga-IE	
181b63f0202ba1fd0594b5a55c4a9bb53429c87b2d2bda74f0370273a94bcffeaf810c3b0838481915f9dfbe59011ea40c5f9281b6a858c7f60f4a644c148d7f	common_voice_ga-IE_18184297.mp3	Bhí banjo ag bean Joe ach b'fhearr go deo Joe ar an mbanjo	2	0	twenties	male	connachta	ga-IE	
cd5be1c3ffc87d82783a7111655320a0ce12c22a1cdedede9e9c62a0c4719d8dabcb3e67f8868ddb02acbfa66973c4c5b1c303c55730afd1d0a66b15814ed678	common_voice_ga-IE_18929898.mp3	Mo mhála mór	2	0	twenties	male	mumhain	ga-IE	
2bf1907838353bd4ff938cb357518af5cd662218dcf4e05e91bccb5c4981619def6e13f25156c63c468ac5e938051eb89983ae095606bc1ebcbe2aba77dbcf38	common_voice_ga-IE_18189732.mp3	Is mór idir grá agus crá.	2	0	twenties	male	mumhain	ga-IE	
78a9851e086b4d9282df63d8b80e1e6e688f15752ec2b3f163ceba5f2c25ccd50fe4832ae556fa5b0e28c36c87cecd33da0d02596a0d5d8ef97708aef0bc5745	common_voice_ga-IE_17736169.mp3	Cá bhfuil an ghrian?	2	0				ga-IE	
f40708a791028964787d11bcd9c78530ae27d1dde78b7a6cf3f335609f962adfec42e95215f7eebcef178b60af8c1a03917b1906b621220d9ea854b7055e5a24	common_voice_ga-IE_18202525.mp3	a cúig a chlog	2	0	thirties	male	connachta	ga-IE	
e63aa674199d9c85c64b2ae1dd56b398651d16f9f1ee5130b2e3ef15cad7f4fb31860e7a9c3b4a1b332e35aa530fec68f66beff824846b65701f6a73e11fadf5	common_voice_ga-IE_18181612.mp3	Fuair bás an séú lá de mhí Dheireadh Fómhair míle naoi gcéad fiche a hocht	2	0				ga-IE	
8efc364986858317c082195653d85a0e2d3afa710bbb326c2637a949517f4909abf989cdc3a0e000703179bb9f90bc08eadc8c4529d69370c5b8e991ec38f57f	common_voice_ga-IE_17771028.mp3	Is mór an pléisiúr dom a bheith anseo ar maidin	2	1	thirties	female	ulaidh	ga-IE	
78a9851e086b4d9282df63d8b80e1e6e688f15752ec2b3f163ceba5f2c25ccd50fe4832ae556fa5b0e28c36c87cecd33da0d02596a0d5d8ef97708aef0bc5745	common_voice_ga-IE_18182292.mp3	Ar an bhfear	2	0				ga-IE	
f40708a791028964787d11bcd9c78530ae27d1dde78b7a6cf3f335609f962adfec42e95215f7eebcef178b60af8c1a03917b1906b621220d9ea854b7055e5a24	common_voice_ga-IE_18202580.mp3	A thánaiste a airí chomhaltaí na Comhairle Stáit agus a chairde	2	0	thirties	male	connachta	ga-IE	
